State	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Massachusetts	6846	6768	6718	6640	6547	6473	6416	6372	6304	6228	6148	6066	5938	5862	5797	5705	5592	5482	5315	5141	5108	4979	4840	4702	4552	4420	4212	4090	4004	3846	3716	3562	3405	3153	3003	2899	2730	2556	2360	2182	1961	1706	1706	1404	1245	1108	1108	844	844	756	686	599	503	433	356	260	231	216	192	154	122	89	56	48	44	35	25	15	11	9	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Michigan	5491	5464	5406	5372	5334	5266	5241	5228	5223	5158	5129	5060	5017	4915	4891	4881	4825	4787	4714	4674	4584	4555	4530	4399	4345	4256	4183	4139	4053	4021	3866	3789	3670	3568	3407	3315	3155	3085	2977	2813	2575	2468	2391	2308	2227	1996	1921	1768	1602	1479	1384	1276	1076	959	845	727	617	540	479	417	335	259	184	132	111	92	61	43	24	15	9	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minnesota	1050	1036	1006	977	942	908	890	878	861	851	818	786	757	740	731	709	692	672	638	614	591	578	558	534	508	485	455	427	418	394	370	343	319	301	286	272	244	221	200	179	160	143	134	121	111	87	87	79	70	70	64	57	50	39	34	30	29	24	22	18	17	12	10	9	5	4	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mississippi	734	723	710	693	670	652	635	625	616	595	580	570	554	527	521	510	493	480	465	457	435	430	421	409	396	374	342	310	303	291	281	261	250	239	229	227	221	209	201	193	183	169	159	152	140	129	122	111	98	96	93	82	76	67	60	51	43	35	29	26	22	20	16	14	13	8	6	3	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Missouri	776	774	730	708	689	693	689	686	682	677	668	640	631	611	600	594	581	566	551	529	514	503	494	483	449	428	409	386	381	376	360	350	338	330	303	283	281	272	252	238	224	200	199	197	184	169	153	149	123	118	116	99	93	86	65	47	44	33	25	22	18	15	13	13	10	9	9	8	7	4	3	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Montana	17	17	17	17	17	17	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	15	14	14	14	14	14	14	12	10	10	10	8	7	7	7	7	6	6	6	6	6	6	6	6	6	5	6	6	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nebraska	170	170	164	163	153	147	147	147	147	147	138	138	123	123	123	123	113	103	103	100	98	90	90	90	91	78	78	78	78	73	73	70	56	56	56	56	50	50	47	38	33	33	28	24	24	21	20	20	17	17	17	15	14	12	10	9	8	6	6	5	4	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nevada	417	417	406	406	402	394	394	380	387	386	383	377	358	358	350	347	343	333	331	321	312	310	313	294	297	289	270	265	258	255	246	243	230	219	206	206	205	197	195	172	163	159	158	151	142	137	131	126	114	112	102	90	81	72	72	46	46	46	43	38	31	26	15	15	10	10	10	6	4	4	2	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NewHampshire	245	238	238	232	223	214	210	209	208	204	199	190	172	172	172	171	151	151	150	142	133	133	131	121	114	92	92	86	86	84	81	72	60	60	60	60	53	53	51	48	42	42	38	38	37	32	32	25	23	23	22	21	21	13	9	9	9	7	5	3	3	3	3	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NewJersey	11698	11634	11531	11409	11339	11194	11147	11138	11082	10985	10846	10749	10587	10439	10363	10261	10148	9946	9714	9531	9340	9256	9116	8960	8807	8549	8244	7910	7871	7742	7538	7228	6771	6442	6044	5938	5914	5683	5426	5150	4753	4496	4362	4070	3840	3518	3156	2805	2443	2350	2183	1932	1709	1504	1232	1003	917	846	646	537	355	267	198	161	140	108	81	62	44	27	20	16	11	9	5	3	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
